show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,total_views,unique_viewers,avg_watch_time_minutes,completion_rate,likes,shares,avg_rating_by_users,watch_sessions,stickiness_score,subscription_uplift_rate,favored_device,first_content_for_new_users_flag,peak_viewing_hour,peak_viewing_region
s11,TV Show,Wildlife Tales 11,Li Wei,"Actor 11, Actress 11",United States,2021-11-21,2006,TV-14,109 min,Comedy,Sample description 11,105420,81441,78.6,0.96,45442,3386,4.6,40379,0.58,0.02,TV,1,13,India
s12,Movie,Cooking Master 12,Jane Doe,"Actor 12, Actress 12",United States,2022-04-22,2016,R,72 min,Documentary,Sample description 12,74750,102522,83.5,0.68,46370,7309,3.3,60361,0.3,0.11,PC,0,14,United States
s13,Movie,Haunted Nights 13,Li Wei,"Actor 13, Actress 13",United States,2021-05-24,2005,R,81 min,Horror,Sample description 13,218834,193490,54.4,0.79,28973,6534,4.5,38806,0.48,0.1,PC,1,16,Canada
s14,Movie,Love in Paris 14,John Smith,"Actor 14, Actress 14",United Kingdom,2020-09-28,2008,R,123 min,Romance,Sample description 14,99282,96086,116.7,0.68,16589,6026,1.4,40934,0.4,0.21,PC,1,4,Japan
s15,Movie,Space Adventure 15,Carlos Vega,"Actor 15, Actress 15",Japan,2020-03-15,2021,TV-MA,4 Season(s),Horror,Sample description 15,68963,93656,78.3,0.98,4596,2503,2.7,28196,0.7,0.17,Mobile,0,9,United States
s16,Movie,Space Adventure 16,Li Wei,"Actor 16, Actress 16",Canada,2022-09-12,2005,R,69 min,Romance,Sample description 16,322242,227243,52.0,0.71,34818,5407,3.8,99516,0.6,0.3,PC,0,9,United States
s17,Movie,Space Adventure 17,Carlos Vega,"Actor 17, Actress 17",United States,2020-12-12,2004,R,106 min,Action,Sample description 17,312056,45528,115.9,0.66,44007,5082,3.5,8064,0.36,0.24,Mobile,1,8,Japan
s18,Movie,Cooking Master 18,Carlos Vega,"Actor 18, Actress 18",United Kingdom,2020-09-24,2012,PG,2 Season(s),Comedy,Sample description 18,478204,75908,78.3,0.97,16022,3855,1.0,58479,0.6,0.22,PC,1,14,Japan
s19,TV Show,Cooking Master 19,Li Wei,"Actor 19, Actress 19",Japan,2022-11-07,2023,PG-13,60 min,Action,Sample description 19,284362,117726,68.4,0.68,28925,7549,1.7,21003,0.16,0.29,TV,0,14,United Kingdom
s20,TV Show,Haunted Nights 20,Carlos Vega,"Actor 20, Actress 20",United States,2023-04-28,2013,R,74 min,Romance,Sample description 20,107767,63261,33.5,0.59,40134,6780,1.1,8952,0.52,0.24,TV,1,8,United States
s21,TV Show,The Great Escape 21,Jane Doe,"Actor 21, Actress 21",India,2022-04-12,2020,TV-14,99 min,Documentary,Sample description 21,195238,128139,56.9,0.86,47882,482,3.3,67049,0.84,0.12,TV,1,20,India
s22,Movie,Haunted Nights 22,Li Wei,"Actor 22, Actress 22",Canada,2023-02-25,2004,PG-13,80 min,Horror,Sample description 22,488780,168769,89.6,0.74,11606,4059,2.9,65139,0.69,0.15,PC,0,19,Japan
s23,Movie,Space Adventure 23,John Smith,"Actor 23, Actress 23",India,2020-12-20,2007,PG-13,4 Season(s),Action,Sample description 23,100093,41706,91.4,0.58,48827,6025,1.3,19107,0.69,0.1,Mobile,1,15,United States
s24,TV Show,Haunted Nights 24,Li Wei,"Actor 24, Actress 24",Canada,2022-12-07,2015,TV-14,130 min,Romance,Sample description 24,31858,74494,66.9,0.91,6070,7620,3.0,67442,0.28,0.21,PC,1,6,Japan
s25,Movie,Cooking Master 25,John Smith,"Actor 25, Actress 25",India,2020-10-04,2013,TV-14,5 Season(s),Action,Sample description 25,464736,143694,36.6,0.77,9954,7490,2.3,7556,0.45,0.13,Mobile,1,22,India
s26,Movie,Wildlife Tales 26,John Smith,"Actor 26, Actress 26",Canada,2021-03-02,2006,PG-13,61 min,Romance,Sample description 26,141775,109903,81.9,0.84,22141,7740,1.4,80240,0.54,0.08,Mobile,0,20,United States
s27,Movie,Wildlife Tales 27,Li Wei,"Actor 27, Actress 27",India,2020-10-05,2003,R,134 min,Drama,Sample description 27,233942,61542,103.5,0.33,20690,3363,1.0,16402,0.41,0.21,Mobile,1,23,Canada
s28,TV Show,Space Adventure 28,Li Wei,"Actor 28, Actress 28",United States,2020-05-03,2010,PG-13,5 Season(s),Comedy,Sample description 28,357586,22311,113.3,0.37,19304,6804,4.3,16145,0.4,0.11,Tablet,0,21,Canada
s29,Movie,Wildlife Tales 29,Carlos Vega,"Actor 29, Actress 29",Canada,2022-05-02,2020,R,1 Season(s),Drama,Sample description 29,253935,86924,112.4,0.42,37532,4574,4.3,99152,0.53,0.16,Tablet,1,13,India
s30,TV Show,Space Adventure 30,Carlos Vega,"Actor 30, Actress 30",United States,2023-06-08,2015,PG-13,2 Season(s),Drama,Sample description 30,400790,254042,112.2,0.55,21698,4615,3.2,50154,0.65,0.05,PC,1,8,United States
s31,TV Show,Wildlife Tales 31,Jane Doe,"Actor 31, Actress 31",Japan,2020-07-06,2022,R,2 Season(s),Documentary,Sample description 31,214640,214852,43.3,0.85,4539,2089,4.8,84588,0.76,0.19,PC,1,5,Japan
s32,TV Show,The Great Escape 32,John Smith,"Actor 32, Actress 32",Japan,2022-02-22,2016,PG-13,4 Season(s),Drama,Sample description 32,20452,221781,41.1,0.98,21445,7639,1.6,36340,0.38,0.16,Tablet,1,16,United States
s33,Movie,The Great Escape 33,Carlos Vega,"Actor 33, Actress 33",Canada,2020-11-17,2010,R,3 Season(s),Horror,Sample description 33,201436,43841,52.3,0.53,38584,3235,4.4,53045,0.42,0.2,PC,0,2,Canada
s34,TV Show,The Great Escape 34,Jane Doe,"Actor 34, Actress 34",Japan,2022-08-20,2005,TV-14,66 min,Action,Sample description 34,295929,121907,65.4,0.85,40684,6858,2.2,61987,0.39,0.25,Tablet,1,11,Japan
s35,TV Show,Love in Paris 35,Fatima Khan,"Actor 35, Actress 35",United Kingdom,2022-07-05,2021,TV-14,82 min,Action,Sample description 35,119528,222319,102.8,0.48,20269,6029,2.9,4640,0.7,0.2,TV,1,6,Canada
s36,Movie,Cooking Master 36,Jane Doe,"Actor 36, Actress 36",Canada,2023-04-05,2013,R,114 min,Comedy,Sample description 36,258388,241596,39.3,0.33,8677,2626,2.1,36857,0.51,0.04,Tablet,1,18,United Kingdom
s37,Movie,Wildlife Tales 37,Fatima Khan,"Actor 37, Actress 37",Japan,2021-06-13,2017,R,2 Season(s),Action,Sample description 37,122299,40507,80.8,0.46,35994,8234,3.2,79149,0.87,0.18,Mobile,1,20,India
s38,Movie,Cooking Master 38,Fatima Khan,"Actor 38, Actress 38",Canada,2021-04-18,2003,PG-13,105 min,Horror,Sample description 38,480884,129124,101.3,0.37,26393,5263,4.3,18732,0.65,0.04,TV,0,5,United Kingdom
s39,TV Show,Cooking Master 39,Fatima Khan,"Actor 39, Actress 39",United States,2022-04-04,2007,PG,146 min,Action,Sample description 39,91756,91056,106.0,0.5,20724,3785,2.0,94218,0.75,0.18,TV,1,3,Canada
s40,TV Show,Wildlife Tales 40,John Smith,"Actor 40, Actress 40",United States,2021-01-11,2003,TV-MA,90 min,Documentary,Sample description 40,184511,145199,36.3,0.86,11153,3141,4.3,90495,0.4,0.01,TV,1,22,India
s41,Movie,Haunted Nights 41,Carlos Vega,"Actor 41, Actress 41",India,2023-11-04,2007,TV-14,71 min,Comedy,Sample description 41,377912,58092,61.0,0.97,10666,6699,2.6,42250,0.42,0.21,Mobile,0,16,Japan
s42,TV Show,Cooking Master 42,Jane Doe,"Actor 42, Actress 42",United Kingdom,2022-03-03,2015,PG-13,116 min,Documentary,Sample description 42,495870,73492,78.5,0.56,31053,7391,1.5,77418,0.21,0.19,PC,1,5,United States
s43,Movie,Haunted Nights 43,Carlos Vega,"Actor 43, Actress 43",Canada,2023-05-08,2020,TV-14,1 Season(s),Horror,Sample description 43,457377,270708,105.2,0.64,46379,7845,2.7,8180,0.15,0.28,PC,0,5,India
s44,Movie,The Great Escape 44,Jane Doe,"Actor 44, Actress 44",United Kingdom,2022-06-20,2010,TV-14,1 Season(s),Horror,Sample description 44,89525,37963,95.2,0.31,17387,9149,1.3,24555,0.35,0.28,Mobile,0,21,Canada
s45,Movie,Wildlife Tales 45,Fatima Khan,"Actor 45, Actress 45",India,2020-02-26,2019,PG-13,4 Season(s),Horror,Sample description 45,196875,30534,78.7,0.73,20363,1793,3.5,43593,0.49,0.27,Mobile,1,16,United Kingdom
s46,TV Show,The Great Escape 46,Fatima Khan,"Actor 46, Actress 46",United Kingdom,2021-08-04,2021,TV-MA,86 min,Horror,Sample description 46,73710,195471,97.1,0.32,25714,2886,4.0,19620,0.41,0.17,Tablet,1,17,Canada
s47,Movie,The Great Escape 47,Li Wei,"Actor 47, Actress 47",Japan,2020-07-10,2003,TV-MA,135 min,Romance,Sample description 47,16519,261295,89.8,0.65,38992,4792,1.9,86110,0.23,0.27,PC,0,11,India
s48,TV Show,Haunted Nights 48,Jane Doe,"Actor 48, Actress 48",Canada,2021-12-09,2006,PG,119 min,Documentary,Sample description 48,498558,97489,108.4,0.85,9201,6742,3.4,18346,0.44,0.11,PC,0,20,Japan
s49,TV Show,Wildlife Tales 49,Li Wei,"Actor 49, Actress 49",United Kingdom,2023-10-17,2012,PG,110 min,Documentary,Sample description 49,298015,186932,79.7,0.55,31291,117,3.6,4106,0.81,0.26,PC,0,8,India
s50,TV Show,The Great Escape 50,John Smith,"Actor 50, Actress 50",Canada,2021-03-25,2002,TV-14,89 min,Action,Sample description 50,194848,142685,51.4,0.32,27004,7615,4.6,53187,0.21,0.0,Mobile,0,3,Japan
s51,Movie,The Great Escape 51,Fatima Khan,"Actor 51, Actress 51",India,2021-02-27,2008,PG-13,4 Season(s),Horror,Sample description 51,144802,232954,95.3,0.92,3242,4984,2.8,33191,0.7,0.18,Mobile,0,11,United Kingdom
s52,Movie,Haunted Nights 52,Fatima Khan,"Actor 52, Actress 52",United States,2023-10-10,2005,TV-14,1 Season(s),Drama,Sample description 52,349055,297910,97.6,0.38,27823,5417,2.9,77089,0.78,0.06,Mobile,1,3,United Kingdom
s53,Movie,Cooking Master 53,Li Wei,"Actor 53, Actress 53",Japan,2020-05-04,2022,R,124 min,Comedy,Sample description 53,303944,141386,60.1,0.67,28711,4103,4.4,63733,0.27,0.26,Tablet,0,13,United States
s54,TV Show,Space Adventure 54,Jane Doe,"Actor 54, Actress 54",United States,2021-10-14,2002,TV-MA,3 Season(s),Drama,Sample description 54,139121,78714,38.4,0.81,3264,8433,3.8,75118,0.33,0.09,PC,0,8,Canada
s55,Movie,Space Adventure 55,Fatima Khan,"Actor 55, Actress 55",India,2020-11-23,2020,PG,1 Season(s),Action,Sample description 55,320299,176020,87.1,0.66,41681,5801,4.5,23056,0.63,0.01,PC,0,12,United Kingdom
s56,Movie,The Great Escape 56,Li Wei,"Actor 56, Actress 56",United Kingdom,2023-08-24,2006,PG,4 Season(s),Documentary,Sample description 56,18037,57824,33.2,0.38,11663,7445,3.7,38816,0.44,0.12,TV,0,3,India
s57,Movie,Wildlife Tales 57,Jane Doe,"Actor 57, Actress 57",Japan,2022-03-01,2015,R,2 Season(s),Drama,Sample description 57,127269,258562,51.7,0.42,21885,9151,2.7,19307,0.59,0.13,Mobile,0,16,India
s58,Movie,Love in Paris 58,Jane Doe,"Actor 58, Actress 58",United States,2020-10-12,2003,R,3 Season(s),Romance,Sample description 58,453738,285283,101.5,0.48,10907,3846,2.0,22173,0.16,0.07,Tablet,1,9,India
s59,TV Show,Haunted Nights 59,Li Wei,"Actor 59, Actress 59",India,2022-05-14,2016,PG-13,2 Season(s),Action,Sample description 59,22515,85736,67.5,0.77,31286,7357,2.9,96669,0.82,0.21,Mobile,0,15,Japan
s60,Movie,Wildlife Tales 60,Carlos Vega,"Actor 60, Actress 60",Canada,2022-01-05,2005,R,1 Season(s),Comedy,Sample description 60,235644,128865,107.2,0.84,14860,4982,3.8,84216,0.61,0.03,Mobile,1,2,Japan
s61,TV Show,Wildlife Tales 61,John Smith,"Actor 61, Actress 61",India,2020-10-18,2023,TV-14,5 Season(s),Comedy,Sample description 61,160483,158978,86.4,0.76,42805,9356,4.6,65524,0.73,0.26,Tablet,1,10,United States
s62,TV Show,Haunted Nights 62,Li Wei,"Actor 62, Actress 62",Japan,2020-03-19,2016,TV-14,121 min,Horror,Sample description 62,246890,45238,30.1,0.96,8894,8076,3.0,58197,0.7,0.06,Mobile,0,20,Japan
s63,TV Show,Wildlife Tales 63,John Smith,"Actor 63, Actress 63",United Kingdom,2022-02-18,2009,R,73 min,Drama,Sample description 63,298131,91298,97.4,0.54,1600,1552,1.7,91507,0.64,0.17,PC,0,16,Canada
s64,TV Show,Love in Paris 64,Li Wei,"Actor 64, Actress 64",Japan,2020-03-14,2023,PG,91 min,Action,Sample description 64,98250,209596,58.2,0.92,26115,8355,4.3,24717,0.85,0.28,Mobile,0,15,Japan
s65,TV Show,The Great Escape 65,Jane Doe,"Actor 65, Actress 65",India,2023-12-21,2022,PG-13,102 min,Action,Sample description 65,467927,241139,95.9,0.94,15573,868,1.5,52196,0.23,0.23,Mobile,0,0,United Kingdom
s66,TV Show,Love in Paris 66,Li Wei,"Actor 66, Actress 66",United States,2023-03-04,2012,PG,5 Season(s),Romance,Sample description 66,39243,192151,112.1,0.57,8003,4240,1.9,97379,0.31,0.3,Mobile,0,3,Canada
s67,TV Show,Space Adventure 67,Jane Doe,"Actor 67, Actress 67",United Kingdom,2022-02-08,2008,PG-13,4 Season(s),Documentary,Sample description 67,268489,14608,46.3,0.78,39514,5662,1.6,91422,0.86,0.02,PC,1,20,United States
s68,Movie,Cooking Master 68,Jane Doe,"Actor 68, Actress 68",Japan,2020-12-11,2020,TV-MA,4 Season(s),Drama,Sample description 68,408747,241098,86.3,0.64,35522,7137,4.8,90466,0.13,0.2,Tablet,0,13,Canada
s69,TV Show,Space Adventure 69,Fatima Khan,"Actor 69, Actress 69",Japan,2022-08-25,2020,TV-MA,2 Season(s),Action,Sample description 69,255469,264505,55.8,0.38,24823,4505,3.2,28641,0.74,0.08,TV,1,20,United Kingdom
s70,TV Show,Space Adventure 70,Carlos Vega,"Actor 70, Actress 70",Japan,2021-10-24,2011,R,127 min,Documentary,Sample description 70,386043,61280,88.4,0.39,35524,507,4.2,84589,0.51,0.11,TV,1,10,Canada
s71,TV Show,Love in Paris 71,Fatima Khan,"Actor 71, Actress 71",United Kingdom,2022-06-10,2012,PG,4 Season(s),Romance,Sample description 71,316680,283239,92.2,0.37,20919,3898,1.1,62708,0.37,0.22,PC,0,7,Japan
s72,TV Show,Love in Paris 72,Carlos Vega,"Actor 72, Actress 72",Japan,2023-09-16,2010,TV-14,117 min,Drama,Sample description 72,367118,114367,76.6,0.65,20770,146,4.2,53547,0.31,0.15,PC,0,1,India
s73,Movie,Cooking Master 73,John Smith,"Actor 73, Actress 73",Japan,2021-09-04,2020,TV-14,2 Season(s),Drama,Sample description 73,28210,33351,103.3,0.73,10839,2404,2.5,98642,0.46,0.1,PC,0,3,United States
s74,Movie,Love in Paris 74,Jane Doe,"Actor 74, Actress 74",Canada,2021-02-17,2000,TV-14,112 min,Horror,Sample description 74,279054,269444,93.0,0.53,28251,6825,2.3,67329,0.89,0.24,TV,0,3,India
s75,TV Show,Wildlife Tales 75,Fatima Khan,"Actor 75, Actress 75",India,2023-07-06,2002,PG-13,3 Season(s),Romance,Sample description 75,118862,261895,101.4,0.97,10142,3544,2.8,17830,0.42,0.24,PC,0,0,United Kingdom
s76,Movie,The Great Escape 76,Jane Doe,"Actor 76, Actress 76",Japan,2022-08-22,2004,TV-14,1 Season(s),Comedy,Sample description 76,200461,167493,30.9,0.4,45095,8763,4.1,83780,0.38,0.18,Mobile,1,8,India
s77,TV Show,Haunted Nights 77,Li Wei,"Actor 77, Actress 77",United Kingdom,2020-10-03,2020,PG-13,2 Season(s),Action,Sample description 77,83231,202070,55.2,0.64,9640,6643,4.5,69130,0.27,0.21,TV,0,5,Canada
s78,Movie,The Great Escape 78,Jane Doe,"Actor 78, Actress 78",Canada,2023-10-27,2022,PG,75 min,Romance,Sample description 78,239526,186820,115.5,0.98,26831,7153,3.4,18072,0.11,0.0,PC,1,6,United Kingdom
s79,Movie,Love in Paris 79,John Smith,"Actor 79, Actress 79",United States,2023-01-19,2009,PG,2 Season(s),Documentary,Sample description 79,196350,151471,65.5,0.33,10903,2331,4.4,95241,0.82,0.04,Mobile,1,20,Japan
s80,Movie,Haunted Nights 80,Li Wei,"Actor 80, Actress 80",Canada,2021-06-13,2009,TV-MA,60 min,Action,Sample description 80,385344,113811,103.7,0.87,3624,7749,2.9,25528,0.74,0.28,TV,0,2,India
s81,Movie,Space Adventure 81,Li Wei,"Actor 81, Actress 81",Japan,2023-03-18,2007,TV-14,123 min,Comedy,Sample description 81,89339,113057,72.5,0.79,12996,2065,4.8,88283,0.26,0.3,PC,0,22,India
s82,Movie,Wildlife Tales 82,John Smith,"Actor 82, Actress 82",Japan,2022-03-02,2007,PG,101 min,Horror,Sample description 82,371257,148710,90.1,0.42,39007,1908,2.3,50708,0.75,0.13,Mobile,1,8,United Kingdom
s83,TV Show,Haunted Nights 83,John Smith,"Actor 83, Actress 83",United Kingdom,2022-09-14,2001,R,4 Season(s),Romance,Sample description 83,477960,160686,46.4,0.88,22478,7621,2.8,53631,0.35,0.19,TV,1,3,India
s84,TV Show,Haunted Nights 84,Jane Doe,"Actor 84, Actress 84",India,2022-07-17,2020,TV-MA,5 Season(s),Action,Sample description 84,496116,19479,39.1,0.32,19281,6228,4.3,86927,0.23,0.03,Mobile,1,11,India
s85,Movie,The Great Escape 85,Li Wei,"Actor 85, Actress 85",United States,2022-10-12,2010,PG-13,5 Season(s),Documentary,Sample description 85,43705,294968,48.1,0.32,31792,150,1.7,39436,0.24,0.24,PC,0,22,Japan
s86,TV Show,Space Adventure 86,Li Wei,"Actor 86, Actress 86",United States,2021-06-03,2017,R,65 min,Action,Sample description 86,284431,11180,96.7,0.75,28975,6855,4.3,25821,0.48,0.13,Tablet,1,16,United Kingdom
s87,TV Show,Love in Paris 87,Jane Doe,"Actor 87, Actress 87",United States,2022-11-24,2010,PG,89 min,Documentary,Sample description 87,31152,181877,70.4,0.52,13447,2358,4.1,75158,0.29,0.02,PC,0,20,United States
s88,Movie,The Great Escape 88,John Smith,"Actor 88, Actress 88",Canada,2022-11-04,2016,PG-13,3 Season(s),Romance,Sample description 88,160605,10302,81.9,0.32,11515,7924,1.9,16904,0.3,0.3,TV,0,12,India
s89,TV Show,Love in Paris 89,Li Wei,"Actor 89, Actress 89",United States,2020-05-21,2021,PG-13,2 Season(s),Drama,Sample description 89,206703,244342,80.0,0.99,17711,6069,3.7,81272,0.23,0.25,Tablet,1,21,Canada
s90,Movie,Wildlife Tales 90,Carlos Vega,"Actor 90, Actress 90",Japan,2023-02-27,2015,PG,89 min,Horror,Sample description 90,77652,291712,96.9,0.91,21173,4019,2.9,77603,0.43,0.3,Tablet,1,22,United Kingdom
s91,Movie,Cooking Master 91,Fatima Khan,"Actor 91, Actress 91",India,2021-01-24,2001,TV-MA,2 Season(s),Romance,Sample description 91,229111,286577,103.3,0.42,34731,5480,3.4,26064,0.47,0.02,Tablet,0,5,United States
s92,TV Show,Space Adventure 92,Jane Doe,"Actor 92, Actress 92",Japan,2021-05-03,2022,TV-14,108 min,Horror,Sample description 92,402442,78575,47.5,0.62,16528,6918,1.1,4829,0.14,0.05,TV,0,23,Japan
s93,Movie,The Great Escape 93,Carlos Vega,"Actor 93, Actress 93",Japan,2021-01-12,2004,PG,88 min,Documentary,Sample description 93,278538,239521,77.8,0.89,27261,334,3.9,59741,0.42,0.29,TV,0,13,United Kingdom
s94,TV Show,The Great Escape 94,Jane Doe,"Actor 94, Actress 94",Canada,2023-05-24,2015,PG-13,75 min,Romance,Sample description 94,390792,154094,116.8,0.57,41125,3082,3.5,61575,0.84,0.21,PC,0,1,Japan
s95,Movie,The Great Escape 95,Jane Doe,"Actor 95, Actress 95",Japan,2023-03-27,2019,PG,128 min,Action,Sample description 95,472807,86853,101.6,0.95,29053,9196,2.0,79923,0.83,0.16,PC,0,20,India
s96,Movie,Haunted Nights 96,Carlos Vega,"Actor 96, Actress 96",United Kingdom,2023-04-24,2021,R,81 min,Romance,Sample description 96,243223,206581,84.0,1.0,17909,2328,4.8,70533,0.63,0.25,Mobile,0,22,United Kingdom
s97,TV Show,The Great Escape 97,Carlos Vega,"Actor 97, Actress 97",Canada,2021-12-12,2009,PG,5 Season(s),Horror,Sample description 97,289301,94037,90.5,0.3,32516,1625,2.3,57441,0.2,0.0,TV,1,2,Canada
s98,TV Show,Space Adventure 98,Fatima Khan,"Actor 98, Actress 98",United Kingdom,2022-07-01,2001,TV-MA,85 min,Horror,Sample description 98,415462,85885,115.8,0.91,48102,6143,3.5,79978,0.18,0.2,Tablet,0,16,United Kingdom
s99,Movie,The Great Escape 99,Jane Doe,"Actor 99, Actress 99",Canada,2021-06-04,2016,PG,4 Season(s),Action,Sample description 99,104840,228600,68.8,0.55,44611,2589,2.6,32485,0.8,0.2,Tablet,0,15,Canada
s100,Movie,Wildlife Tales 100,Jane Doe,"Actor 100, Actress 100",Japan,2020-07-25,2007,PG-13,5 Season(s),Romance,Sample description 100,127132,127148,58.1,0.74,29894,6406,1.7,36020,0.56,0.05,Tablet,0,5,Japan
s101,TV Show,The Great Escape 101,Jane Doe,"Actor 101, Actress 101",Japan,2022-07-25,2005,TV-MA,4 Season(s),Action,Sample description 101,439279,7688,73.9,0.67,33389,3676,3.8,6115,0.42,0.22,TV,1,11,Japan
s102,Movie,Haunted Nights 102,Jane Doe,"Actor 102, Actress 102",India,2022-10-27,2023,TV-MA,83 min,Horror,Sample description 102,174725,65550,110.7,0.67,31715,9641,2.2,81429,0.25,0.27,Mobile,0,23,India
s103,Movie,Haunted Nights 103,John Smith,"Actor 103, Actress 103",India,2023-03-07,2005,PG-13,5 Season(s),Comedy,Sample description 103,365440,138284,105.4,0.3,32637,2508,3.3,51860,0.41,0.23,PC,0,6,India
s104,Movie,Haunted Nights 104,Carlos Vega,"Actor 104, Actress 104",Japan,2020-07-07,2018,TV-MA,77 min,Action,Sample description 104,171464,289758,37.2,0.99,44018,1531,2.7,57165,0.21,0.2,PC,1,21,United Kingdom
s105,Movie,Haunted Nights 105,John Smith,"Actor 105, Actress 105",United Kingdom,2022-05-18,2003,TV-MA,2 Season(s),Action,Sample description 105,50916,180316,39.4,0.76,7915,9062,3.0,58617,0.73,0.04,Tablet,1,5,United Kingdom
s106,Movie,Love in Paris 106,Jane Doe,"Actor 106, Actress 106",United States,2020-10-09,2021,PG,5 Season(s),Romance,Sample description 106,449677,150466,61.0,0.68,32943,6231,4.6,54959,0.4,0.09,TV,0,9,Canada
s107,Movie,Cooking Master 107,Li Wei,"Actor 107, Actress 107",India,2020-04-27,2001,PG,3 Season(s),Romance,Sample description 107,347370,166165,64.3,0.82,30361,3588,2.9,20838,0.32,0.1,Mobile,0,6,Canada
s108,Movie,The Great Escape 108,Carlos Vega,"Actor 108, Actress 108",United Kingdom,2023-01-16,2010,R,5 Season(s),Comedy,Sample description 108,173138,256677,48.7,0.86,46762,690,1.0,75825,0.71,0.12,Tablet,0,7,India
s109,Movie,Haunted Nights 109,Jane Doe,"Actor 109, Actress 109",Japan,2020-12-04,2019,PG-13,138 min,Drama,Sample description 109,79774,263247,99.0,0.89,16849,7099,3.0,1319,0.43,0.23,PC,1,14,Canada
s110,TV Show,Haunted Nights 110,Jane Doe,"Actor 110, Actress 110",United Kingdom,2023-08-18,2015,TV-14,3 Season(s),Comedy,Sample description 110,107377,98453,114.4,0.58,9689,4069,1.9,81786,0.86,0.05,TV,0,23,Canada
s111,Movie,Wildlife Tales 111,Li Wei,"Actor 111, Actress 111",Canada,2020-06-16,2003,R,5 Season(s),Documentary,Sample description 111,117158,180977,104.4,0.88,21338,687,4.8,26890,0.87,0.08,Mobile,0,18,Canada
s112,Movie,Space Adventure 112,Carlos Vega,"Actor 112, Actress 112",United States,2023-04-09,2001,PG-13,125 min,Horror,Sample description 112,446709,8097,77.8,0.46,40248,2028,1.7,56764,0.33,0.23,Mobile,0,17,Japan
s113,Movie,Cooking Master 113,Li Wei,"Actor 113, Actress 113",United States,2021-05-24,2009,PG-13,3 Season(s),Horror,Sample description 113,466932,197813,83.5,0.81,44959,9025,2.1,33806,0.42,0.11,PC,1,10,United States
s114,Movie,Love in Paris 114,Li Wei,"Actor 114, Actress 114",Japan,2020-09-17,2012,R,101 min,Drama,Sample description 114,200727,13800,62.3,0.51,37848,5556,4.2,91361,0.12,0.13,Tablet,1,1,Canada
s115,TV Show,The Great Escape 115,Jane Doe,"Actor 115, Actress 115",India,2022-05-11,2007,R,4 Season(s),Romance,Sample description 115,368483,133306,119.9,0.65,40366,7619,1.4,51495,0.52,0.01,TV,0,9,Canada
